Title,PID,file,First-broadcast,Presenter,Production,Producer,Description,Archive-details
Children's relationship with God,,,2/7/1995,Fiona Armstrong,Unique,,Fiona Armstrong explores the relationship children have with God.,
Choosing to Care,b013rgb1,,28/8/2011,Mark Tully,Unique,Frank Stirling,"The choice to care or be cared for is one that faces over half of us and some stage in our lives.<br/><br/>Mark Tully presents an edition of Something Understood to explore that choice and to discuss the emotional, practical and spiritual costs and rewards of caring and being cared for. He examines the benefits and the responsibilities felt within such relationships in the company of Jean and Geoffrey Almond, a couple living with the consequences of Multiple Sclerosis, and with poetry by a variety of carers as well as music from Shostakovich, Elmer Bernstein and folk-singer Kate Rusby.<br/><br/>The readers are Kenneth Cranham and Isla Blair",
Clowning for God,b08qxfc2,TRUE,21/5/2017,Mark Tully,7digital,Adam Fowler,"Mark Tully asks priest and stand-up comedian, Maggy Whitehouse, how humour can puncture hypocrisy and piety in religious leaders and their congregations.<br/><br/>Together, they discus how holy fools can make people laugh at the pretentiousness of the powerful, the pomposity of the proud, and the absurdity of those who take themselves too seriously. They consider if Jesus himself sometimes acted as a jester, mocking human arrogance.<br/><br/>Mark also looks to Sufi traditions and the legendary satirical figure, Mulla Nasruddin, whose humour constantly humiliates those who feel they are above ordinary believers, demonstrating that we are all equal in the eyes of God.",
Colours of Religion,b0105r7h,,10/4/2011,Mark Tully,Unique,Adam Fowler,"Mark Tully attends the Hindu festival of Holi in Delhi, gets covered with dye, and asks what is the significance of colour, in religion and in spring festivals.<br/><br/>Recorded partly on location in Mark Tully's home town of Delhi, this programme charts the run up to the festival, with the singing of traditional songs, and the lighting of bonfires. On the special day itself, coloured dyes and waters are thrown as the city erupts in an explosion of colour, noise and sometimes lusty humour. Speaking to locals and visitors alike, Tully gets a sense of the importance of colour to this festival, his city and to Hinduism. Looking to other traditions he asks what different colours mean to different faiths.<br/><br/>And as the rumbustiousness of Holi subsides, Tully is left to consider what parallels he can find in western festivals, music and writing, which might first appear more solemn, but can have their own undercurrents of bawdiness and abandon.",
Commemoration,b04nqs3y,TRUE,9/11/2014,Mark Tully,Unique,Frank Stirling,"On Remembrance Day, Mark Tully asks why we feel acts of commemoration are important and discusses their purpose with the campaigner and survivor of Ravensbruck Concentration Camp, Selma Van de Perre.<br/><br/>He also introduces readings and music written in commemoration of some of the major conflicts and acts of violence of the last 100 years - from accounts of the very first Armistice Day to commemorations of the Afghan conflict. There is music too, ranging from Shostakovich to Suzanne Vega.<br/><br/>The readers are Jane Whittenshaw, David Westhead and Francis Cadder.",
Committees,b00bfjz0,,25/5/2008,Mark Tully,,,Are committees good or bad for us? Mark Tully asks whether they are an efficient way of making decisions or an excuse for postponing or avoiding difficult problems.,
Compassion,b0150dsj,,25/9/2011,Fergal Keane,Unique,Ronni Davis,"Fergal Keane reflects on the vital human instinct of compassion and how it benefits us as individuals to be compassionate. He considers how, when faced with evil, a sense of justice can interfere with compassion. He concludes that although there are times when compassion might overwhelm critical reasoning and propel us into disaster, it can also move us to mercy and the healing of wounds.<br/><br/>To illustrate his argument Fergal Keane draws on the writing of Bernard Schlink and Cormac McCarthy, the poetry of Elizabeth Jennings and Michael Longley, and the music of Leonard Cohen and Morten Lauridsen.<br/><br/>The readers are Liza Sadovy and Patrick Drury.",
Confession,b05ns8pb,,29/3/2015,Mark Tully,Unique,Frank Stirling,"On the last Sunday in Lent, Mark Tully asks if confession is really good for us. He examines the secular and political benefits of owning up to crimes and misdemeanours in public life, as well as talking to religious historian and writer Eamon Duffy about the history of confession as a religious rite.<br/><br/>There are stories here of politicians caught red-handed, a priest confessing posthumously to his atheism - and to his hatred for the confessional box - and of the sheer psychological relief of forgiving.<br/><br/>The programme includes readings from James Joyce, Elizabeth Jennings and A. C. Clarke, with music by Caroline Barnett and Hans Zimmer among others.<br/><br/>The readers are Adjoa Andoh and Arsher Ali",
Confiteor,,,28/2/1995,,,Jeremy Mortimer,A new spiritual anthology. Confiteor. Read by Michael Pennington and Tessa Worsley.,
Consider the Lilies,b054p93x,,8/3/2015,Samira Ahmed,Whistledown,Lucy Dichmont,"Samira Ahmed explores our representations of flowers, and our relationships with them.<br/><br/>Focusing on the flowers that have had a particular importance in her own life, she considers the meanings and cultural resonances of several species - passion-flower, bluebells, tulips and the exotically perfumed champa flower or frangipani.<br/><br/>Through music and poetry she explores how certain blooms have been thought to embody emotional, spiritual and philosophical ideas - and been used and subverted by artists, musicians and writers around the globe. She investigates how different countries have developed complex codes of communication through the gift of flowers and asks if sometimes it is better not to 'say it with flowers'. How can the giving and receiving of floral tributes be transformed from a simple gesture of affection to one of potential threat or insult?<br/><br/>The programme includes poetry by Sylvia Plath, Wendy Cope and Rabindranath Tagore, along with music from Katherine Jenkins, Ben E. King and the Dave Brubeck Quartet.<br/><br/>The readers are Olivia Onyehara, Matthew Wynn, and Haruka Kuroda.",
Counterpoint,b07mw2s5,TRUE,7/8/2016,Mark Tully,Unique,Adam Fowler,"Composer David Owen Norris explains the musical concept of counterpoint and plays examples to Mark Tully, who also looks at the metaphorical use of it in religion and literature.<br/><br/>With the help of Johann Sebastian Bach, Giovanni Pierluigi da Palestrina, Gilbert and Sullivan, and some bawdy Lay Clerks from Canterbury Cathedral, David Owen Norris takes Mark on an interweaving tour of contrapuntal history and development from the earliest experiments in Plainsong to his own latest composition.<br/><br/>But the last word is left to Gerard Manley Hopkins and the remarkable rhythmic counterpoint of his poem The Windhover, with its depiction of a Flacon’s flight:<br/><br/>""“…..in his riding<br/>Of the rolling level underneath him steady air, and striding<br/>High there, how he rung upon the rein of a wimpling wing<br/>In his ecstasy!”""",
Creatures of the Wind,b07lf74f,TRUE,24/7/2016,Mark Tully,Unique,,"Mark Tully hears how winds like El Niño, the Sirocco and the Trade Winds connect the earth's ecosystems, as well as human societies and beliefs.<br/><br/>The science of this inter-connectedness is explained by David Carlson, Director of the World Climate Research Programme. He discusses with Mark how commerce, conflict and culture have been shaped by the flow of air around our planet, and how ideas can be carried on the breeze.<br/><br/>From idyllic breezes to tempestuous storms, and from the Saharan desert to the South China Sea, artistic images of the wind are summoned, in music, by Benjamin Britten, Nina Simone and Frederic Chopin - and, in words, by Joseph Conrad, Percy Bysshe Shelley and Jan DeBlieu.<br/><br/>Mark considers also how the wind can be one of the wonders of nature that connect us to God, and how it can so overawe us that we lose our self awareness and experience the transcendent.",
Cricket,b00ltn1q,TRUE,2/8/2009,Mark Tully,,,"Mark Tully celebrates cricket as a symbol of an ideal society, with historian Ramanchandra Guha.",
Crossing the Master,b08ksc23,TRUE,2/4/2017,Abdul-Rehman Malik,TBI,Jonathan Mayo,"Journalist Abdul-Rehman Malik explores the complex relationship between master and disciple. Acknowledging that truth lies in fiction, he describes how the relationship between Obi Wan Kenobi and his former disciple Darth Vader in the film Star Wars prompted this exploration.<br/><br/>A passage written by the former Archbishop of Canterbury Dr Rowan Williams defines what a disciple is and a reading from the 19th century Buddhist master Jamgon Kongtrul Lodro helps the disciple discern a true leader. Hindu mystic Rama Krishna describes how Tapobana the Master, threatened by a disciple he thought of as foolish, goes on to make a fool of himself.<br/><br/>Conflicts between master and disciple arise in the secular world too. We hear the music of jazz trumpeter Miles Davis as Abdul-Rehman recounts the tale of the clash between young lion Wynton Marsalis and the legendary Davis. The death of Malcolm X in 1965 showed that crossing the master can have deadly consequences - we hear from his autobiography.<br/><br/>Abdul-Rehman concludes by examining how differences between the master and disciple can be reconciled.",
Cultivating Kindness,b0blgj7k,TRUE,30/9/2018,Suryagupta Dharmacharini,TBI,Max O'Brien,"Suryagupta Dharmacharini, Chair of the London Buddhist Centre, remembers seeing her mother crying when witnessing the horrors of war-torn countries on the nightly news. As a child, Suryagupta couldn't understand why her mum was so moved by the suffering of strangers. It was years later, when meditating on a Buddhist retreat, that the importance of this level of empathy first truly struck her.<br /><br />Whilst kindness and compassion might seem to be innate, Buddhists like Suryagupta believe that they can be actively cultivated through meditation. In this episode, Suryagupta explores the Metta Bhavana meditation practice - an ancient technique for the cultivation of kindness created by the Buddha approximately 2500 years ago. She explains that Metta in Pali translates as 'loving kindness' and Bhavana as 'cultivation'. The meditator concentrates on channelling kindness in a number of directions, resulting in a heightened level of empathy and compassion that has been scientifically proven.<br /><br />Across the five stages of the Metta Bhavana meditation, practitioners direct kindness towards themselves, towards a friend, towards a neutral person about whom they have no strong feelings, towards someone they have a fractious relationship with and finally towards all sentient beings. Suryagupta examines the challenges and benefits that each stage brings with the help of Johnny Cash, Gregory Porter, John Coltrane, Raymond Carver, Rumi and a selection of Buddhist texts.",
Dark Sanctuary,b00l97nq,,28/6/2009,Fergal Keane,,,Fergal Keane explores the physical and fairytale world created by the forest.,
Darkness,b01hw62n,,20/5/2012,Stewart Henderson,Loftus,Jo Coombs,"In Something Understood this week, poet and broadcaster Stewart Henderson celebrates the power of true darkness. With streetlamps dominating our modern industrialised world, few people in Britain now have the chance to experience real darkness, but Stewart believes it can have a transformative effect.<br/><br/>Some people fear darkness, others find it disorienting and confusing. These days, we fill our world with electric light and it's only in the deepest countryside that we find true darkness. Yet when we do immerse ourselves in the dark, it can bring another form of illumination, heightening our physical senses and our sense of self. Our surroundings take on new meaning and significance. And the darkness can be inspirational - as Vincent Van Gogh wrote to his brother Theo in 1888, 'I often think that the night is more alive and more richly coloured than the day'. Other readings come from astronauts, scientists and pilots, all of whom have embraced the dark and found riches and depth within it.<br/><br/>Stewart speaks to Marek Kukula, Public Astronomer at the Royal Observatory, Greenwich. As a child he was fascinated by the natural world, and now his job is to explain the latest discoveries in space to the public. Darkness is essential to Marek's work, but it also has a spiritual dimension for him. As someone who seeks out dark places from which to see the stars, he regrets the light pollution which is driving true darkness out of many places. Marek is a supporter of the International Dark Sky Association which aims to identify and protect those places which still enjoy truly dark skies. Without darkness to heighten our awareness, are we left with a loss of inner sight?",
Dawn,b016kgmb,,30/10/2011,Mark Tully,Unique,Frank Stirling,"Millions of Hindus start their day by greeting the sun with a Yoga practice known as Surya Namaskar. During the holy month of Ramadan, Muslims start their day at dawn.<br/><br/>In Japan Shinto believers bow before the rising sun and clap to get the sun goddess' attention, so that she will dispel evil. St. Benedict, the father of Western Christian Monasticism, ordained that monks should say the office of Matins. Yet not all of us are good in the morning. Notwithstanding it is difficult to ignore the mystical resonance of the sunrise.<br/><br/>With the help of Henry David Thoreau, Vachel Lindsay and Brendan Kennelly and with music from Carl Nielsen, Bruce Cockburn and Ortolino Respighi, Mark Tully explores the psychological and spiritual significance of this particular time of day.<br/><br/>The readers are Hattie Morahan and Dan Stevens.",
Death Be Not Proud,b079m52j,TRUE,8/5/2016,Michael Symmons Roberts,TBI,Michael Wakelin,"Death has been an inspiration to poets, authors, artists and composers throughout the centuries. The multi award winning poet, Professor Michael Symmons Roberts, devotes his debut presenting Something Understood to an intense reflection on the subject, its mystery and inevitability.<br/><br/>Roberts has himself used death in his own work, notably in his poem Corpse which is featured in the programme alongside the poetry of Emily Dickinson and Wallace Stevens. But it's the life and poetry of John Donne, which Roberts cites as his main inspiration. Donne, Roberts explains, courted death as a young man and witnessed plenty of it.<br/><br/>Another life-long influence on Roberts is the music of David Bowie who died earlier this year. ""Mortality, the need to seize the fleeting life we have, was always there in his work,"" Roberts says as he reflects on the elegiac Heroes and tells the story of Bowie's final album, Blackstar and the song Lazarus. ""Many fans interpreted it as a message from beyond the border, from a man who had crossed it.""<br/><br/>Other music includes Vera Hall singing Death is Awful, Mozart's Requiem and John Donne's poem Death Be Not Proud set to music by John Tavener.",
Debt,b01s7vtm,,5/5/2013,Mark Tully,Unique,Frank Stirling,"Ever since the current financial crisis started back in 2007, debt has been on everybody's mind.<br/><br/>Much of the discussion in the media has been about economics and ways to alleviate the crisis. What about the moral questions debt raises?<br/><br/>Mark Tully discusses our social and philosophical attitudes to the problem of debt and talks to financial educator and broadcaster Alvin Hall.<br/><br/>There are readings from Dickens, Shakespeare and the poet Kathleen Raine and music by composers ranging from Handel to Jocelyn Pook. The readers are Harriet Walter and Tim Pigott-Smith.",
Deeper than Desire,b00937kr,,9/3/2008,Mark Tully,,,"Deeper than Desire: Mark Tully considers the human experience of longing. What is longing, how is it different from other human desires and can it ever be satisfied?",
Deserts,b05qy96q,,19/4/2015,Samira Ahmed,Whistledown,Natalie Steed,"Samira Ahmed explores how the idea of the desert has been used in literature and spiritual texts.<br/><br/>Often, in Western literature, the desert is a place of self-discovery for a single, romantic explorer or is used as a place to test ideas and fears about the end of the world. But Samira's first encounter with a desert story was that of Hagar and Ishmael. Ishmael, the first son of the Biblical Patriarch, Abraham, is cast out into the desert with his mother, Hagar. Thirsty and abandoned they are saved by an intervention from God and a promise that Ishmael will go on to found a great nation.<br/><br/>Harsh and difficult places to live, yes, but the desert regions of the world are not the unpopulated wastelands of the Western literary imagination. In this programme we hear music and poetry from people who live in deserts and find great beauty there.<br/><br/>There's music from Steve Reich, Tinariwen and Brian Eno, along with poems and prose written by Laurie Lee, Elana Bell and the pre-Islamic Arabic poet, Shanfara.<br/><br/>The readers are Joe Armstrong, Sirine Saba and Emily Taaffe.",
Desire,b0372v87,TRUE,21/7/2013,Sarah Cuddon,Falling Tree,Alan Hall,"Sarah Cuddon reflects on the nature of desire - full of passion, ambition, creativity and, potentially, danger.<br/><br/>She draws on the writings of Sharon Olds, Marie Colvin and Gwendolyn Brooks; the music of Edith Piaf, Felix Mendelssohn and Sweet Honey in the Rock and she talks to 90 year old Josephine about the undimmed power of her desires.",
Desire Lines,b060xyp5,,5/7/2015,Mark Tully,Unique,,"Mark Tully follows the paths we choose to take instead of the official routes laid out for us by others.<br/><br/>Literally, desire lines are paths worn over time through a landscape by people taking the shortest or most desirable route, rather than the one provided for them by planners or designers. They can cut across fields or over busy roads, even between countries. But do they represent a desire to break the bounds of convention, or an instinct to follow the crowd?<br/><br/>Arnold Schoenberg and Franz Schubert take a musical detour from the prescribed channels, while Philip Larkin leads the literary trail off-piste, as Mark considers metaphorical desire lines - behaving, thinking or doing as we want, rather than as custom, etiquette or rules would have had us do.<br/><br/>In the end, desire lines could be seen as evidence of human behaviour triumphing over rigid attempts to control and confine - but might they also be physical reminders of our inherent laziness? Is there not something to be said for taking the long way round?",
Deterrence,b07bt72f,,22/5/2016,Mark Tully,Unique,Adam Fowler,"Mark Tully ponders why deterrence often fails to deter, whether globally, at home, or in the Garden of Eden. He examines the different ways it is used - including to discipline children, to reduce breaches of the law, to prevent people endangering themselves or others and, perhaps most successfully, to stop the Cold War getting hot.<br/><br/>To consider whether persuasion might be a better option than deterrence, Mark chooses readings on the prohibition of alcohol in the United States in the 1920s, the psychological effects of the notion of sin and hell, and the mixed success of corporal and capital punishment.<br/><br/>While accepting that deterrence can be effective sometimes, Mark maintains that it often prevents us pursuing better options, and can be detrimental - not least for Conrad who ignores his mother's warning that ""the great tall tailor always comes"", armed with his ""great sharp scissors"", to ""little boys that suck their thumbs."" Conrad is undeterred. ""Snip! Snap! Snip!""",
Diamonds and Coal,b0122nfs,,26/6/2011,Llewelyn Morgan,Falling Tree,Katie Burningham,"In this week's Something Understood, Llewelyn Morgan considers how the diamond, a beautiful yet tarnished jewel, is capable of provoking complex responses within us.<br/><br/>With readings from Christina Rosetti, Marco Polo and William Pitt, music from Joan Baez, Bela Bartok and Joni Mitchell, and an interview with bookseller Farrukh Hussain, he examines how this precious stone can bring out the best and worst in us.",
Dignity,b01pngpz,TRUE,6/1/2013,Mark Tully,Unique,Adam Fowler,"Mark Tully asks why dignity should be so important to us. It is considered a human right, but is it always so noble, or can we use a false sense of dignity to undermine others?<br/><br/>Drawing on stories about the British in India during the Raj, being visited while a patient in a hospice, and the enlightenment of the Buddha, the programme searches for what could be called a fundamental dignity.<br/><br/>In the end, Mark Tully concludes that if we want to be genuinely respected, we shouldn't demand respect, but if we are dignified we will be respected by those who are themselves dignified.",
Divine Noise,b08fd9q1,TRUE,19/2/2017,Sarah Goldingay,TBI,Max O'Brien,"Noise permeates our lives and is often depicted as a fundamentally negative by-product of the hectic pace of modern life. Noise is often used as a pejorative term, it's unwelcome, intrusive and unpleasant. But this isn't the whole story.<br/><br/>Academic Dr Sarah Goldingay argues that noise can be joyful and that joyful noise affects us deeply. She explains that noise and unexpected sounds can trigger moments of profound spirituality.<br/><br/>Sarah leads us on a journey into sound, from the gong baths through which people seek healing by immersing themselves in waves of vibrational energy, to the zen art of Suizen in which practitioners play a traditional flute as a means of progressing towards enlightenment. We hear from the poet William Cowper, who describes how church bells heard at noon on a winter's walk affect him on a cellular level, and we visit a Mississippi church where the congregation pounds out a spiritual pulse on the wooden floorboards.<br/><br/>Through these examples and more, Sarah argues that it's possible to listen out for the divine noise in and amongst the din.",
Divine Recognition,b0b6fb3k,TRUE,17/6/2018,Sarah Goldingay,TBI,Max O'Brien,"Dr Sarah Goldingay argues that we don't need to enter religious buildings to have extraordinary encounters with the divine. She looks to the natural world in search of mystical or ""noetic"" experiences.<br/><br/>We hear the story of astronaut Edgar Mitchell who believed he had glimpsed divinity when staring back at Earth from space in Apollo 14. Sarah explains that, while the sight of our entire planet is clearly likely to spark a profound reaction, many writers and thinkers have found the divine in the exquisitely small - a grain of sand in the case of William Blake's remarkable poem Auguries of Innocence. Meanwhile, a reading from the 14th century nun and mystic Julian of Norwich describes an encounter with God sparked by the contemplation of a tiny hazelnut.<br/><br/>Drawing on Vaughan Williams' iconic piece The Lark Ascending, Sarah recalls a noetic experience of her own. Walking on a quiet hill in Devon, she came across a skylark singing which then flew upwards dramatically into a darkening sky - a moment she describes as ""ecstatic"".<br/><br/>Pointing out that profound realisations of the divine in nature are by no means confined to the idyll of an English landscape, Sarah discusses the long tradition of landscape painting and nature poetry within the Zen Buddhist tradition.<br/><br/>Sarah concludes ""a grain of sand, a hazelnut, a lark's flight or a mountain's grace remind us that a noetic encounter is closer than we think. Even in the bright lights of a city, we can lift our gaze upward to the celestial beauty that turns above our heads each night to know the connection the depths of our soul has with the depths of the universe"".",
DNA and the Divine,b04c9p7f,,3/8/2014,Mark Tully,Unique,Adam Fowler,"CORRECTION: Please note that, in this programme, Joseph Addison's Spacious Firmament on High is referred to as a hymn. However, the music used is, in fact, a setting of the poem as an anthem by Bernard Rose.<br/><br/>In this week's edition, Mark Tully considers whether the discovery of DNA is evidence for or against the existence of God.<br/><br/>He discusses DNA with the Professor of Science and Religion at Oxford University, Alister McGrath, who welcomes the debate between theists and atheists and believes the truth lies between the two sides of the argument.<br/><br/>Together, they question whether genetic codes could have come about randomly, and why a loving God might create something that can transmit pain and disease between generations.<br/><br/>The programme looks at how evolving Christian theology can accommodate new scientific discoveries, and warns against too much faith in DNA to answer the big questions about God, or about ourselves.<br/><br/>Featuring music from Haydn, Michael Nyman, Gregory W Brown and Bernard Rose.<br/><br/>The readers are Cyril Nri, Frank Stirling and Michael Symmons Roberts.",
Do you See what I See?,b00d62yg,,31/8/2008,Mike Wooldridge,,,"Mike Wooldridge explores some of the complex and ultimately unanswerable questions about the nature of human perception in conversation with Raymond Tallis, Professor of Medicine, philosopher, poet and novelist. To what extent do we all see things in the same way? Is it possible to see through another's eyes or to know what another person sees when we look at the same object, scene or action?",
Downsizing,b00c0f99,,15/6/2008,Mark Tully,,,"How easy is it to make do with less? Mark Tully considers how we deal with enforced downsizing through financial necessity. Should we all consume less for the common good, as Gandhi did?",
Dread Not the Fearful Hour,,,28/3/1995,,,Michael Quinn,A new spiritual anthology. Dread Not the Fearful Hour. Read by Stephen Moore.,
Dreams,,,27/08/1995,Denis Tuohy,Unique,,Denis Tuohy looks at dreams.,
Drudgery Divine,b00qyt4x,,28/2/2010,Teresa Morgan,Falling Tree,,"Scholar and priest Teresa Morgan explores some of the many ways in which we see work - as a necessary evil, an act of love, a right, a gift and an expression of faith. With readings from the Bhagavad Gita, Gerard Manley Hopkins and Virgil, and music by Peggy Seeger, Robert Fayrfax and Vaughan Williams.",
Dust Yourself Off,b00774y1,,4/3/2007,Marguerite Patten,,,Food writer Marguerite Patten looks back on a lifetime of love and loss.,
Duty,,,17/3/1996,Peter Hobday,Unique,,Peter Hobday considers the place of duty in an age dominated by rights.,
Earth's Crammed With Heaven,b00pj2dz,,3/1/2010,Mark Tully,Unique,,"Mark Tully considers where heaven is to be found, in conversation with his friend and veteran documentary maker Jonathan Stedall.<br/><br/>The readers are William Gaminara, Emily Raymond and Frank Stirling.",
East/West,b00d3k03,,24/8/2008,Jonathan Charles,,,"BBC Foreign Correspondent Jonathan Charles, who has spent the past two decades journeying to some of the most far-flung parts of the world, reflects on whether travel really does broaden the mind.",
Easter: A Matter of Life and Death,b08m8yfx,TRUE,16/4/2017,Robin Griffith-Jones,TBI,Max O'Brien,"In this Easter Sunday special episode, Master of the Temple Church, Robin Griffith-Jones, explores the fascinating parallels between the story of creation in Genesis and the Easter story as told in John's gospel.<br/><br/>The music is sung by the eighteen voices of the Temple Church Choir.<br/><br/>Robin explains that the Temple Church, an oasis of calm in the heart of the City of London for over 850 years, is the perfect place for an examination of the Easter narrative. Three hundred years after Jesus died, the Emperor Constantine rediscovered his tomb. Constantine built around it a vast circular church - The Holy Sepulchre in Jerusalem. Move on another 800 years and the Christians ruled Jerusalem. Back home in Europe, they built a handful of round churches like the Temple Church, on Fleet St in London, designed to recreate the Sepulchre's shape and so its sanctity.<br/><br/>Sat in the beautiful surroundings of his beloved church, with the sunlight streaming in through stained glass windows and the voices of the choir permeating the air, Robin leads us on a theological journey deep into John's gospel.<br/><br/>Robin describes the gospel of John as a strange and poetic text that invites us to see ourselves and the world in a new way. Robin reveals that John's Easter narrative is filled with allusions to Genesis - indeed his whole gospel can be read as the story of a new creation.",
Embarrassment,b06lt13f,TRUE,1/11/2015,Mark Tully,Unique,Frank Stirling,"Mark Tully examines the extraordinary contradictions of embarrassment.<br/><br/>It's an emotion that is an invaluable teaching aid, a source of the purest and funniest entertainment, an experience capable of creating powerful bonds and of causing deep estrangement. It's also a psychological state that frequently kills us – ‘dying of embarrassment’ is all too common.<br/><br/>In a programme devoted to embarrassment in all its many guises, Mark investigates the emotion that makes us blush with readings from Jane Austen, T.S. Eliot and Wendell Berry and music by Puccini, Ella Fitzgerald and the French revue star Mistinguett.<br/><br/>The readers are Samantha Bond, Francis Cadder and Matt Addis.",
Embracing The Classical,b04n2fmh,TRUE,2/11/2014,Mark Tully,Unique,Frank Stirling,"Luciano Pavarotti said it was ""so important at a young age to be invited to embrace classical music and opera."" Mark Tully and composer James MacMillan discuss the cross-cultural benefits of sharing classical traditions with new audiences and the power of music to unite.<br/><br/>The two first met during the BBC Scottish Symphony Orchestra's tour of India earlier this year. Most of the music in this programme is taken from those concerts, as well as from the family concerts which accompanied them, where young audiences got their first introduction to Western classical traditions.<br/><br/>Mark and James compare the classical traditions of East and West and consider the exciting opportunities for music in a new global culture.<br/><br/>With music by Bizet, Schoenberg and Tchaikovsky and readings from Coleridge, Joyce Grenfell and Alice Herz-Sommer.<br/><br/>The readers are Jane Whittenshaw, David Westhead and Francis Cadder.",
Emerging from the Ruins,b007ndvp,,10/6/2007,Mark Tully,,,"Emerging from the Ruins: Mark Tully considers life after downfall, personal, emotional or financial. Including a conversation with Jonathan Aitken.",
Endings and Beginnings,b01slqc3,,26/5/2013,Marie-Louise Muir,Falling Tree,Rachel Hooper,"Arts journalist and broadcaster Marie-Louise Muir reflects on the mysteries of the creative process, asking whether there are inevitable points in our lives when we expect our creative drive to feel exhausted - our best thoughts and ideas to be done - or whether there's always a possibility of renewal.<br/><br/>With a selection of music from David Bowie, Tracey Thorn and Leos Janacek, and extracts from the writings of Seamus Heaney, Brian Friel and Margaret Atwood.",
Enduring,b00776d6,,8/4/2007,Mark Tully,,,Life is sometimes described as an endurance test. Mark Tully considers the qualities that help people survive its tribulations.,
Enduring Love,b007777z,,29/4/2007,Fergal Keane,,,"Enduring Love: How does love between two people survive the disappointments, betrayals and routine of everyday life? Fergal Keane reflects on what makes a lasting relationship.",
Enough Is Enough,b06k9syt,,25/10/2015,John McCarthy,Whistledown,Rosie Boulton,"John McCarthy is joined by tenor Ian Bostridge and ecological economist Professor Tim Jackson, to consider whether aspiration for ""stuff"" and status gets in the way of personal contentment.<br/><br/>They begin their exploration by considering where our desire for wealth and status comes from, and whether it was ever thus. But the discussion broadens to explore our discontent with other aspects of life, such as sufficiency of time, work, space, looks, faith and love.<br/><br/>They end with Bach's beautiful Cantata Ich habe genug. This translates: It is enough or I am content. The piece is about the very elderly man Simeon at last seeing the baby Jesus when he was brought to the temple. He says:<br/><br/>It is enough.<br/>I have held the Saviour, the hope of all peoples,<br/>In the warm embrace of my arms.<br/>It is enough.<br/><br/>Ian and John discuss the way in which Bach captures this sense of contentment and peace of mind that so often eludes us as human beings.",
Entitlement,b00k7pr6,,10/5/2009,Mark Tully,,,Mark Tully explores the complex relationship between a sense of entitlement and the claiming of rights. What is the difference between entitlements and rights and why is a sense of entitlement so closely related to privilege?,
Epiphany: The Duty to Be Happy,m0001x6m,TRUE,6/1/2019,Mark Tully,7digital,Frank Stirling,"It is a matter of contention whether happiness should be the proper aim of life. The right to pursue it is enshrined in the American Declaration of Independence and the Dalai Lama has called it ""the purpose of our life"". Nietzsche, however, remarked that ""only the Englishman"" strove for happiness. Denominations of many faiths often seem to place more emphasis on atoning for sins than striving to be happy. On the feast day of the Three Wise Men taking ""good news"" out into the world, Mark Tully asks whether being happy and trying to spread happiness is a duty we all share. There are readings from the work of James Joyce and poet and performer Agnes Török and music from Scott Joplin and Jules Massenet.<br /><br />The readers are David Westhead, Polly Frame and Francis Cadder.",
Eruption,b06w6t84,TRUE,17/1/2016,Samira Ahmed,Whistledown,Natalie Steed,"Samira Ahmed explores the power of eruptions - emotional, spiritual or geological.<br/><br/>We often think of eruptions of emotion, anger for example, as troubling and out of our control, but can they be useful or powerful ways of effecting change? Giles Fraser discusses with Samira the significance of Jesus over-turning the tables of the money changers in the temple.<br/><br/>Eye-witness accounts of volcanic eruptions and poems by Neil Rollinson and James Kirkup are read by Emily Taaffe and Peter Marinker, with music by Sibelius, Ennio Morricone, CPE Bach and Alan Hovhahness.",
Escapism,b01s38ry,,28/4/2013,James Fox,Unique,Philippa Geering,"The art historian James Fox considers the idea of escapism, asking if there is a human need to escape and, if so, what it might be that we need to escape from.<br/><br/>From the idea of heaven to the draw of nostalgia, and from the reaction against the horrors of the First World War to the appeal of popular entertainment, the human imagination is celebrated and explored.<br/><br/>James Fox traces a path through readings from, amongst others, W.B. Yeats, David Foster Wallace and Marcel Proust, with music from Gabriel Fauré, Vaughan Williams and The Wizard of Oz.<br/><br/>The readers are Mark Quartley, Monica Dolan and Frank Stirling.",
Europe,b08tvj3n,TRUE,18/6/2017,Mark Tully,7digital,Adam Fowler,"Mark Tully with help from Lord Stephen Green, trade minister in the recent coalition government, considers how the UK might continue to share a European identity post-Brexit.<br/><br/>Quoting current British Foreign Secretary Boris Johnson's hopes that the UK should be more engaged than ever with Europe after its departure from the European Union, they discuss where Britain should find its cultural centre of gravity in a changing world.<br/><br/>Lord Green identifies fundamentally important human values that have arisen from European traditions, despite Europe's violent history - human fulfilment, social compassion and the recognition of the importance of the individual, and the rights and responsibilities that accompany that recognition.<br/><br/>Mark asks what part Christianity played in the formation of a European identity and if there is any future for it as a binding force now the idea of religion dominating European public life has diminished.<br/><br/>And finally, there is a reminder in the music of Mozart that the treasures of Europe are Britain's treasures too.",
